name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url,2025_value
BoTorch,Meta,https://botorch.org/,logos/bf6001cce117af4ae13495875da21ba11ba34f5d42b525ce555f61452ad9fc6d.svg,https://x.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,member,,MIT License,"Menlo Park, California, United States",A Framework for Efficient Monte-Carlo Bayesian Optimization,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,Training,Probabilistic & Optimization,True,https://github.com/pytorch/botorch,3347.0,Bayesian optimization in PyTorch,2025-09-19,https://github.com/pytorch/botorch/commit/51429f21a6988122799c179d17d63d8cbaf254f8,2025-08-12,https://github.com/pytorch/botorch/releases/tag/v0.15.1,2018-10-12,https://github.com/pytorch/botorch/commit/0afd603c183b0802554c64e4dbc0093bfd1e42ef,148.0,https://github.com/pytorch/botorch/graphs/contributors,,,,,,,,,,,,,178.46
Captum,Meta,https://captum.ai/docs/introduction.html,logos/2abc1fc7558376c329b2798f7bcde761b3644e8805d84dc631370e0e76d75b8d.svg,https://x.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,member,,"BSD 3-Clause ""New"" or ""Revised"" License","Menlo Park, California, United States","An open source, extensible library for model interpretability built on PyTorch.","Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,Modeling,Adversarial & Robustness,True,https://github.com/pytorch/captum,5409.0,Model interpretability and understanding for PyTorch,2025-09-19,https://github.com/pytorch/captum/commit/d71aefc5b1c75bec387939a8f3a848c8d364c713,2025-03-27,https://github.com/pytorch/captum/releases/tag/v0.8.0,2019-08-27,https://github.com/pytorch/captum/commit/eea2393aacd699f8dd0d4e4c092770ed8e30b4f3,135.0,https://github.com/pytorch/captum/graphs/contributors,,,,,,,,,,,,,90.99000000000001
Carnegie Mellon University (member),Carnegie Mellon University,https://cmu.edu/,logos/ee0155fd7156c569b42ba9978e811b02bee4b54be4312880c1dafe0d29c1502b.svg,https://twitter.com/CarnegieMellon,https://www.crunchbase.com/organization/carnegie-mellon-university,488578726.0,Associate,member,,,"Pittsburgh, Pennsylvania, United States","Carnegie Mellon University is a private research university in Pittsburgh, Pennsylvania. Carnegie Mellon has seven colleges and independent schools: the Carnegie Institute of Technology (engineering), College of Fine Arts, Dietrich College of Humanities and Social Sciences, Mellon College of Science, Tepper School of Business, H. John Heinz III College and the School of Computer Science. The College is recognized for its world-class arts and technology programs, collaboration across disciplines and innovative leadership in education.","Carnegie Mellon University is a private research university that offers degrees in technology, arts, and various other fields.",https://www.cmu.edu,Pittsburgh,Pennsylvania,United States,https://www.twitter.com/CarnegieMellon,https://www.linkedin.com/school/carnegie-mellon-university,,funding,5001.0,10000.0,PyTorch Members,Associate,,,,,,,,,,,,,,,,,,,,,,,,,
Catalyst,Open Collective,https://catalyst-team.com/,logos/b8f9b0d3ee7df42d688ddfaf95b3177f256d68521167ac27b601778e339fbedc.svg,https://x.com/opencollect,https://www.crunchbase.com/organization/open-collective-75c2,,,archived,,Apache License 2.0,"Walnut, California, United States","Catalyst is a PyTorch framework for Deep Learning Research and Development. It focuses on reproducibility, rapid experimentation, and codebase reuse so you can create something new rather than write yet another train loop.","Enable groups to quickly set up a collective, raise funds and manage them transparently.",https://opencollective.com/,Walnut,California,United States,https://x.com/opencollect,https://www.linkedin.com/company/opencollective/,,,11.0,50.0,Training,General,True,https://github.com/catalyst-team/catalyst,3362.0,Accelerated deep learning R&D,2022-04-29,https://github.com/catalyst-team/catalyst/commit/e99f90655d0efcf22559a46e928f0f98c9807ebf,2022-04-29,https://github.com/catalyst-team/catalyst/releases/tag/v22.04,2018-08-20,https://github.com/catalyst-team/catalyst/commit/0b124077de35a725917cd33285a542a9d837e61b,104.0,https://github.com/catalyst-team/catalyst/graphs/contributors,,,,,,,,,,,,,2.65
Clear ML,AllegroAI,https://clear.ml/,logos/b8f9b0d3ee7df42d688ddfaf95b3177f256d68521167ac27b601778e339fbedc.svg,,https://www.crunchbase.com/organization/allegro-ai,11000000.0,,,,Apache License 2.0,"Tel Aviv, Tel Aviv, Israel",Suite of tools to streamline your AI workflow.,AllegroAI,http://allegro.ai/,Tel Aviv,Tel Aviv,Israel,,,,funding,11.0,50.0,Optimizations,MLOps,True,https://github.com/clearml/clearml,6281.0,"ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline, Orchestration, Scheduling & Serving in one MLOps/LLMOps solution",2025-09-15,https://github.com/clearml/clearml/commit/30d1790e9cbd6bd0d4edc43773fe13755d88f8f8,2025-07-10,https://github.com/clearml/clearml/releases/tag/v2.0.2,2019-06-10,https://github.com/clearml/clearml/commit/03e68d4874c96c4d99723c6263768a3d966202f9,104.0,https://github.com/allegroai/clearml/graphs/contributors,,,,,,,,,,,,,64.64999999999999
Clinica DL,Sorbonne Université,https://clinicadl.readthedocs.io/en/latest/,logos/0e35348df86096d30232c0f852e0821acb387f280097ad52f6b298ee03147ee8.svg,https://twitter.com/Sorbonne_Univ_,https://www.crunchbase.com/organization/sorbonne-university,,,,,MIT License,"Paris, Ile-de-France, France","open-source deep learning software for reproducible neuroimaging processing. It can be seen as the deep learning extension of Clinica, an open-source Python library for neuroimaging preprocessing and analysis.",Sorbonne Université is the main successor of the historical Sorbonne founded in 1257 and partially reunified in 2018.,https://www.sorbonne-universite.fr/,Paris,Ile-de-France,France,https://twitter.com/Sorbonne_Univ_,https://www.linkedin.com/school/sorbonne-universite/,,,10001.0,,Modeling,Medical & Biology,True,https://github.com/aramis-lab/clinicadl,174.0,Framework for the reproducible processing of neuroimaging data with deep learning methods,2025-07-10,https://github.com/aramis-lab/clinicadl/commit/95923194b7fadc9ceef53b75d83d7e02890fa338,2024-04-05,https://github.com/aramis-lab/clinicadl/releases/tag/v1.6.1,2018-04-27,https://github.com/aramis-lab/clinicadl/commit/62f9f5ac742fd32ddeee559333b2d4a49f753568,21.0,https://github.com/aramis-lab/clinicadl/graphs/contributors,,,,,,,,,,,,,50.309999999999995
ColossalAI,HPC-AI Technology,https://www.colossalai.org/,logos/2125379104f8c98deea6e3dd3e0b2af88238792c2f41420624c1a142642c69ca.svg,https://twitter.com/HPCAITech,https://www.crunchbase.com/organization/hpc-ai-technology,78000000.0,,,,Apache License 2.0,"Singapore, Central Region, Singapore",Tools to kickstart distributed training and inference,HPC-AI Technology provides a cloud-based platform to enhance AI computations by increasing CPU and GPU processing speeds.,https://www.hpcaitech.com,Singapore,Central Region,Singapore,https://twitter.com/HPCAITech,https://www.linkedin.com/company/hpc-ai-technology,,funding,11.0,50.0,Training,General,True,https://github.com/hpcaitech/ColossalAI,41164.0,"Making large AI models cheaper, faster and more accessible",2025-09-03,https://github.com/hpcaitech/ColossalAI/commit/083766d54ca2fab54fa6770bb05401f4ee44c525,2025-06-04,https://github.com/hpcaitech/ColossalAI/releases/tag/v0.5.0,2021-10-28,https://github.com/hpcaitech/ColossalAI/commit/2ebaefc54268c51b0d0d915adf9ff044bdd8676c,197.0,https://github.com/hpcaitech/ColossalAI/graphs/contributors,,,,,,,,,,,,,231.07
Columbia University (member),Columbia University,https://columbia.edu/,logos/875710c4662d8d5a265f36fc359b7c1935f0b00d43a93403e0c493da67496c1b.svg,https://twitter.com/Columbia,https://www.crunchbase.com/organization/columbia-university,21838279.0,Associate,member,,,"New York, New York, United States","Columbia University in the City of New York is a private university in the United States and a member of the Ivy League. The University has 25,000 students.",Columbia University is a research institution and Ivy League school for undergraduate and graduate students across various fields,https://www.columbia.edu,New York,New York,United States,https://twitter.com/columbia,https://www.linkedin.com/school/columbia-university,,funding,10001.0,,PyTorch Members,Associate,,,,,,,,,,,,,,,,,,,,,,,,,
Common Crawl Foundation (member),Common Crawl,https://commoncrawl.org/,logos/b1cba0787cbd5b580da4bf07a051a90ee1b6c082a35c93daf70c83506261e0c8.svg,http://twitter.com/commoncrawl,https://www.crunchbase.com/organization/common-crawl,,Associate,member,,,"Beverly Hills, California, United States",Common Crawl is a non-profit foundation that aims to democratize access to web information by producing and maintaining an open repository of web crawl data.,Common Crawl Foundation is a California 501(c)3 non-profit founded by Gil Elbaz in 2008 with the mission of producing and maintaining an,http://commoncrawl.org,Beverly Hills,California,United States,http://twitter.com/commoncrawl,https://www.linkedin.com/company/common-crawl,,,1.0,10.0,PyTorch Members,Associate,,,,,,,,,,,,,,,,,,,,,,,,,
composer,Databricks,http://docs.mosaicml.com/,logos/23206110f1d95753c27e1ebe4c63c6bc2c3b86060c4b332516cd9a3931f1900f.svg,https://x.com/databricks,https://www.crunchbase.com/organization/databricks,21814882333.0,,,,Apache License 2.0,"San Francisco, California, United States","A open-source deep learning training library optimized for scalability and usability, integrating best practices for efficient, multi-node training","Databricks is a data and AI platform that unifies data engineering, analytics, and machine learning on a lakehouse architecture.",https://www.databricks.com,San Francisco,California,United States,https://x.com/databricks,https://www.linkedin.com/company/databricks,,funding,5001.0,10000.0,Training,General,True,https://github.com/mosaicml/composer,5413.0,Supercharge Your Model Training,2025-07-25,https://github.com/mosaicml/composer/commit/4ae29b1afec56ce2d54f6fa07a7f9578a0d364b0,2025-07-26,https://github.com/mosaicml/composer/releases/tag/v0.32.1,2021-10-13,https://github.com/mosaicml/composer/commit/d30259748340abf76b8ece20407f719646c6db79,136.0,https://github.com/mosaicml/composer/graphs/contributors,,,,,,,,,,,,,159.84999999999997
CrypTen,Meta,https://crypten.readthedocs.io/en/latest/,logos/a84661f05548b18ae3aa8e49e95af0fbcc12300d9482db746e87a8ab2f596531.svg,https://x.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,archived,,MIT License,"Menlo Park, California, United States",CrypTen is a Privacy Preserving Machine Learning framework written using PyTorch to train models using encrypted data. It is currently not production ready and its main use is as a research framework,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,Training,Privacy,True,https://github.com/facebookresearch/CrypTen,1620.0,A framework for Privacy Preserving Machine Learning,2024-11-23,https://github.com/facebookresearch/CrypTen/commit/775868a02d6dac50774ce376a55b01fbd8bd85b6,2020-04-21,https://github.com/facebookresearch/CrypTen/releases/tag/v0.1,2019-10-09,https://github.com/facebookresearch/CrypTen/commit/b1466440bde4db3e6e1fcb1740584d35a16eda9e,40.0,https://github.com/facebookresearch/CrypTen/graphs/contributors,,,,,,,,,,,,,6.67
DeepSpeed,PyTorch Foundation,https://www.deepspeed.ai/,logos/6a721f2f0c7a39901db79faf3d4307b17472c558462574a3ad699666f4d0e3f3.svg,https://twitter.com/pytorch,https://www.crunchbase.com/organization/pytorch,,,foundation,,Apache License 2.0,"San Francisco, California, United States","DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",PyTorch Foundation is a non-profit organization dedicated to advancing the PyTorch framework and open source AI projects.,https://pytorch.org,San Francisco,California,United States,https://twitter.com/pytorch,https://www.linkedin.com/company/pytorch,,,11.0,50.0,PyTorch Projects,Foundation,True,https://github.com/deepspeedai/DeepSpeed,40139.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",2025-09-19,https://github.com/deepspeedai/DeepSpeed/commit/80033a82938f6cd8ce4988a63c914941e7a8f324,2025-09-19,https://github.com/deepspeedai/DeepSpeed/releases/tag/v0.17.6,2020-01-23,https://github.com/deepspeedai/DeepSpeed/commit/461495eae16169fe4505fa796c8c101276f6ed3c,419.0,https://github.com/deepspeedai/DeepSpeed/graphs/contributors,2025-04-08,,,,,,,,,,,,711.6800000000001
Depyf,Meta,https://depyf.readthedocs.io/en/latest/,logos/e4a063d36b8096ad076ac1c71881f1be4ccc0a18433cd7541d08de40f2c3370f.svg,https://x.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,member,,MIT License,"Menlo Park, California, United States",depyf is a tool to help you understand debug and get insights into pytorch.compile,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,Optimizations,Compilers & Runtimes,True,https://github.com/thuml/depyf,730.0,depyf is a tool to help you understand and adapt to PyTorch compiler torch.compile.,2025-04-20,https://github.com/thuml/depyf/commit/2612c16584d7360a511044a313eac02e15f46831,2025-04-20,https://github.com/thuml/depyf/releases/tag/v0.19.0,2023-08-28,https://github.com/thuml/depyf/commit/0f94d86a5acea9f0419bbe93ce6246b7bc4edc28,9.0,https://github.com/thuml/depyf/graphs/contributors,,,,,,,,,,,,,15.759999999999998
Detectron2,Meta,https://detectron2.readthedocs.io/en/latest/,logos/09c4e847ff560f506f21bd599257ed2204e309e54cfd66f008f2d2c40a46244b.svg,https://x.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,member,,Apache License 2.0,"Menlo Park, California, United States","Decectron is a platform for object detection, segmentation and other visual recognition tasks.","Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,Modeling,Computer Vision,True,https://github.com/facebookresearch/detectron2,33224.0,"Detectron2 is a platform for object detection, segmentation and other visual recognition tasks.",2025-08-27,https://github.com/facebookresearch/detectron2/commit/a1ce2f956a1d2212ad672e3c47d53405c2fe4312,2021-11-15,https://github.com/facebookresearch/detectron2/releases/tag/v0.6,2019-10-10,https://github.com/facebookresearch/detectron2/commit/989f52d67d05445ccd030d8f13d6cc53e297fb91,280.0,https://github.com/facebookresearch/detectron2/graphs/contributors,,,,,,,,,,,,,39.46
